部门名称,2026实际编制,GPR预测(含组织员),GPR_std,官方参数1_backup,官方参数2_backup,正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,6,9.78,2.08,10.18,11.0,1.76,2.63,4.39
数学科学学院,6,7.33,2.08,7.8,8.0,1.27,1.9,3.16
化学科学与工程学院,7,6.81,2.07,6.69,7.0,1.16,1.74,2.9
海洋与地球科学学院,8,7.97,2.12,7.93,9.0,1.39,2.09,3.48
生命科学与技术学院,8,10.03,2.37,9.98,11.0,1.81,2.71,4.52
机械工程与机器人学院,11,9.5,2.35,9.49,9.0,1.5,2.25,3.75
测绘与地理信息学院,5,6.52,2.06,6.46,7.0,1.1,1.66,2.76
计算机科学与技术学院（软件学院）,12,12.65,2.32,14.39,14.0,2.13,3.19,5.32
汽车与能源学院,11,13.28,2.31,13.65,13.0,2.26,3.38,5.64
材料科学与工程学院,9,9.53,2.1,9.59,10.0,1.71,2.56,4.27
电子与信息工程学院,16,17.02,2.58,21.17,21.0,3.0,4.51,7.51
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,17,16.34,2.34,14.7,15.0,2.87,4.3,7.17
土木工程学院,27,26.5,2.73,26.05,25.0,4.3,6.45,10.75
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,20,19.22,2.25,18.55,18.0,3.44,5.17,8.61
建筑与城市规划学院,20,20.7,2.37,19.98,20.0,3.54,5.31,8.85
航空航天与力学学院,7,7.56,2.06,7.92,9.0,1.31,1.97,3.28
中德工程学院，职业技术教育学院,5,4.82,2.16,null,null,0.76,1.15,1.91
医学院,22,21.74,2.81,20.15,18.0,3.55,5.32,8.87
设计创意学院,9,6.23,2.07,6.51,7.0,1.05,1.57,2.62
人文学院,7,7.74,2.1,8.06,9.0,1.35,2.02,3.37
外国语学院,12,10.58,2.32,11.14,12.0,1.92,2.87,4.79
经济与管理学院,22,17.04,2.16,16.44,16.0,3.01,4.51,7.52
政治与国际关系学院,3,5.68,2.06,5.0,6.0,0.94,1.4,2.34
艺术与传媒学院,7,7.21,2.13,7.83,8.0,1.24,1.86,3.11
上海国际知识产权学院,4,5.32,2.11,3.6,4.0,0.86,1.3,2.16
马克思主义学院,8,6.62,2.1,5.89,7.0,1.12,1.69,2.81
国际文化交流学院,4,4.5,2.08,3.0,4.0,0.7,1.05,1.75
法学院,6,6.01,2.06,5.72,6.0,1.0,1.5,2.5
体育部（国际足球学院）,11,7.54,2.16,7.38,8.0,1.31,1.96,3.27
医学与生命科学部,2,2.0,0.0,null,null,0.2,0.3,0.5
出国培训学院，留德预备部,0,3.99,2.11,null,null,0.8,1.2,2.0
网络教育学院，继续教育学院,9,4.05,2.11,null,null,0.61,0.92,1.53
中德学院,3,3.84,2.12,null,null,0.57,0.85,1.42
创新创业学院,8,3.84,2.12,null,null,0.57,0.85,1.42
新生院,3,3.74,2.11,null,null,0.55,0.82,1.37
国豪书院（未来技术学院）,8,7.0,2.64,null,null,1.0,1.5,2.5
国家卓越工程师学院，国际工程师学院,7,7.0,0.0,null,null,1.2,1.8,3.0
中意工程创新学院,4,4.0,0.0,null,null,0.6,0.9,1.5
启迪书院,4,3.74,2.22,null,null,0.55,0.82,1.37
口腔医学院,0,3.67,2.13,null,null,0.53,0.8,1.33
上海自主智能无人系统科学中心,11,5.19,2.22,null,null,0.64,0.96,1.6
同济大学上海国际设计创新学院,0,4.15,2.12,null,null,0.83,1.25,2.08
