部门名称,官方参数1_backup,官方参数2_backup,2026实际编制,本_研_师_预测,本_研_师_vs参数1差值,本_研_师_vs参数2差值,本_研_师_是否公课_预测,本_研_师_是否公课_vs参数1差值,本_研_师_是否公课_vs参数2差值,本_研_师_博士后_预测,本_研_师_博士后_vs参数1差值,本_研_师_博士后_vs参数2差值
物理科学与工程学院,10.18,11.0,6,9.83,-0.34,-1.17,9.91,-0.27,-1.09,9.78,-0.4,-1.22
数学科学学院,7.8,8.0,6,7.3,-0.5,-0.7,7.1,-0.71,-0.9,7.33,-0.48,-0.67
化学科学与工程学院,6.69,7.0,7,6.96,0.27,-0.04,6.73,0.04,-0.27,6.81,0.12,-0.19
海洋与地球科学学院,7.93,9.0,8,8.19,0.26,-0.81,8.47,0.54,-0.53,7.97,0.03,-1.03
生命科学与技术学院,9.98,11.0,8,10.21,0.23,-0.79,10.47,0.49,-0.53,10.03,0.05,-0.97
机械工程与机器人学院,9.49,9.0,11,9.14,-0.35,0.14,9.28,-0.2,0.28,9.5,0.02,0.5
测绘与地理信息学院,6.46,7.0,5,6.6,0.13,-0.4,6.39,-0.08,-0.61,6.52,0.06,-0.48
计算机科学与技术学院（软件学院）,14.39,14.0,12,12.6,-1.8,-1.4,12.73,-1.66,-1.27,12.65,-1.75,-1.35
汽车与能源学院,13.65,13.0,11,13.72,0.08,0.72,13.7,0.05,0.7,13.28,-0.36,0.28
材料科学与工程学院,9.59,10.0,9,9.6,0.01,-0.4,9.75,0.16,-0.25,9.53,-0.05,-0.47
电子与信息工程学院,21.17,21.0,16,17.18,-3.99,-3.82,17.54,-3.63,-3.46,17.02,-4.15,-3.98
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,14.7,15.0,17,16.5,1.8,1.5,16.33,1.62,1.33,16.34,1.64,1.34
土木工程学院,26.05,25.0,27,26.26,0.21,1.26,26.62,0.57,1.62,26.5,0.45,1.5
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,18.55,18.0,20,19.36,0.82,1.36,18.84,0.29,0.84,19.22,0.68,1.22
建筑与城市规划学院,19.98,20.0,20,20.46,0.48,0.46,19.86,-0.11,-0.14,20.7,0.72,0.7
航空航天与力学学院,7.92,9.0,7,7.63,-0.3,-1.37,7.5,-0.42,-1.5,7.56,-0.36,-1.44
中德工程学院，职业技术教育学院,null,null,5,4.76,,,5.0,,,4.82,,
医学院,20.15,18.0,22,21.91,1.75,3.91,21.55,1.39,3.55,21.74,1.59,3.74
设计创意学院,6.51,7.0,9,6.32,-0.19,-0.68,6.66,0.15,-0.34,6.23,-0.28,-0.77
人文学院,8.06,9.0,7,7.91,-0.15,-1.09,7.71,-0.35,-1.29,7.74,-0.32,-1.26
外国语学院,11.14,12.0,12,10.53,-0.61,-1.47,10.41,-0.72,-1.59,10.58,-0.56,-1.42
经济与管理学院,16.44,16.0,22,16.87,0.43,0.87,17.23,0.8,1.23,17.04,0.6,1.04
政治与国际关系学院,5.0,6.0,3,5.55,0.56,-0.45,5.8,0.8,-0.2,5.68,0.68,-0.32
艺术与传媒学院,7.83,8.0,7,7.11,-0.73,-0.89,6.92,-0.92,-1.08,7.21,-0.62,-0.79
上海国际知识产权学院,3.6,4.0,4,5.2,1.6,1.2,5.31,1.71,1.31,5.32,1.72,1.32
马克思主义学院,5.89,7.0,8,6.5,0.61,-0.5,6.01,0.13,-0.99,6.62,0.73,-0.38
国际文化交流学院,3.0,4.0,4,4.42,1.42,0.42,4.5,1.5,0.5,4.5,1.5,0.5
法学院,5.72,6.0,6,5.87,0.15,-0.13,6.17,0.45,0.17,6.01,0.29,0.01
体育部（国际足球学院）,7.38,8.0,11,7.34,-0.04,-0.66,7.62,0.24,-0.38,7.54,0.16,-0.46
医学与生命科学部,null,null,2,2.0,,,2.0,,,2.0,,
出国培训学院，留德预备部,null,null,0,3.97,,,3.91,,,3.99,,
网络教育学院，继续教育学院,null,null,9,4.02,,,3.98,,,4.05,,
中德学院,null,null,3,3.83,,,3.76,,,3.84,,
创新创业学院,null,null,8,3.83,,,3.76,,,3.84,,
新生院,null,null,3,3.73,,,3.69,,,3.74,,
国豪书院（未来技术学院）,null,null,8,7.03,,,6.73,,,7.0,,
国家卓越工程师学院，国际工程师学院,null,null,7,7.0,,,7.0,,,7.0,,
中意工程创新学院,null,null,4,4.0,,,4.0,,,4.0,,
启迪书院,null,null,4,3.74,,,3.87,,,3.74,,
口腔医学院,null,null,0,3.92,,,4.05,,,3.67,,
上海自主智能无人系统科学中心,null,null,11,5.1,,,5.21,,,5.19,,
同济大学上海国际设计创新学院,null,null,0,4.12,,,4.11,,,4.15,,
【汇总】R²,,,,0.861,,,0.862,,,0.868,,
【汇总】MAPE(%),,,,18.599,,,18.852,,,18.352,,
【汇总】t_p(均值检验),,,,0.953,,,0.956,,,0.946,,
【汇总】均值检验结论,,,,通过,,,通过,,,通过,,
【汇总】F_p(方差检验),,,,0.534,,,0.516,,,0.532,,
【汇总】方差检验结论,,,,通过,,,通过,,,通过,,
【汇总】Levene_p,,,,0.567,,,0.565,,,0.557,,
【汇总】Levene检验结论,,,,通过,,,通过,,,通过,,
【汇总】MAE_vs参数1,,,,0.707,,,0.714,,,0.727,,
【汇总】RMSE_vs参数1,,,,1.096,,,1.044,,,1.116,,
【汇总】MAE_vs参数2,,,,1.022,,,0.998,,,1.049,,
【汇总】RMSE_vs参数2,,,,1.356,,,1.3,,,1.374,,
【汇总】信号方差,,,,1.668657,,,1.637864,,,1.714681,,
【汇总】长度尺度,,,,3.454612,,,3.783149,,,3.474883,,
【汇总】噪声方差,,,,0.1,,,0.1,,,0.1,,
【汇总】log边际似然,,,,-32.689894,,,-34.94917,,,-33.65,,
