部门名称,实际编制,GPR预测(含组织员),GPR_std,正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,6,9.02,2.18,1.6,2.41,4.01
数学科学学院,6,7.51,2.32,1.3,1.95,3.26
化学科学与工程学院,7,6.84,2.18,1.17,1.75,2.92
海洋与地球科学学院,8,8.06,2.11,1.41,2.12,3.53
生命科学与技术学院,8,9.76,2.13,1.75,2.63,4.38
机械工程与机器人学院,11,9.1,2.21,1.42,2.13,3.55
测绘与地理信息学院,5,6.72,2.06,1.14,1.72,2.86
计算机科学与技术学院（软件学院）,12,12.08,2.44,2.02,3.02,5.04
汽车与能源学院,11,12.84,2.21,2.17,3.25,5.42
材料科学与工程学院,9,9.4,2.1,1.68,2.52,4.2
电子与信息工程学院,16,17.29,2.51,3.06,4.59,7.65
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,17,16.18,2.27,2.84,4.25,7.09
土木工程学院,27,26.37,2.59,4.27,6.41,10.69
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,20,17.24,2.27,3.05,4.57,7.62
建筑与城市规划学院,20,21.26,2.34,3.65,5.48,9.13
航空航天与力学学院,7,7.49,2.08,1.3,1.95,3.25
中德工程学院，职业技术教育学院,5,5.59,2.16,0.92,1.38,2.3
医学院,22,21.93,2.64,3.59,5.38,8.96
设计创意学院,9,7.34,2.12,1.27,1.9,3.17
人文学院,7,7.82,2.1,1.36,2.05,3.41
外国语学院,12,9.81,2.49,1.76,2.64,4.41
经济与管理学院,22,19.38,2.47,3.48,5.21,8.69
政治与国际关系学院,3,5.9,2.06,0.98,1.47,2.45
艺术与传媒学院,7,7.63,2.1,1.33,1.99,3.31
上海国际知识产权学院,4,5.33,2.11,0.87,1.3,2.17
马克思主义学院,8,6.36,2.23,1.07,1.61,2.68
国际文化交流学院,4,5.4,2.75,0.88,1.32,2.2
法学院,6,6.27,2.06,1.05,1.58,2.64
体育部（国际足球学院）,11,7.16,2.17,1.23,1.85,3.08
医学与生命科学部,2,2.0,0.0,0.2,0.3,0.5
出国培训学院，留德预备部,0,3.75,2.11,0.75,1.12,1.87
网络教育学院，继续教育学院,9,3.81,2.1,0.56,0.84,1.41
中德学院,3,3.6,2.11,0.52,0.78,1.3
创新创业学院,8,3.6,2.11,0.52,0.78,1.3
新生院,3,3.57,2.1,0.51,0.77,1.29
国豪书院（未来技术学院）,8,6.56,2.58,0.91,1.37,2.28
国家卓越工程师学院，国际工程师学院,7,7.0,0.0,1.2,1.8,3.0
中意工程创新学院,4,4.0,0.0,0.6,0.9,1.5
启迪书院,4,4.03,2.17,0.61,0.91,1.51
口腔医学院,0,4.2,2.1,0.64,0.96,1.6
上海自主智能无人系统科学中心,11,5.18,2.16,0.64,0.95,1.59
同济大学上海国际设计创新学院,0,4.04,2.11,0.81,1.21,2.02
