部门名称,GPR预测(含组织员),GPR_std,正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,6.96,2.13,1.19,1.79,2.98
数学科学学院,6.98,2.13,1.2,1.79,2.99
化学科学与工程学院,6.91,2.14,1.18,1.77,2.95
海洋与地球科学学院,5.49,2.06,0.9,1.35,2.25
生命科学与技术学院,5.82,2.06,0.96,1.45,2.41
机械工程与机器人学院,10.15,2.15,1.63,2.44,4.07
测绘与地理信息学院,6.89,2.14,1.18,1.77,2.95
计算机科学与技术学院（软件学院）,13.85,2.21,2.37,3.55,5.92
汽车与能源学院,11.44,2.15,1.89,2.83,4.72
材料科学与工程学院,7.77,2.1,1.35,2.03,3.39
电子与信息工程学院,18.5,2.28,3.3,4.95,8.25
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,9.38,2.13,1.48,2.21,3.69
土木工程学院,13.08,2.2,1.62,2.42,4.04
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,13.4,2.17,2.28,3.42,5.7
建筑与城市规划学院,13.13,2.16,2.03,3.04,5.06
航空航天与力学学院,6.99,2.13,1.2,1.8,3.0
中德工程学院，职业技术教育学院,17.01,2.23,3.2,4.8,8.0
医学院,19.88,2.34,3.18,4.76,7.94
设计创意学院,7.01,2.09,1.2,1.8,3.0
人文学院,7.13,2.11,1.23,1.84,3.07
外国语学院,7.02,2.12,1.2,1.81,3.01
经济与管理学院,14.32,2.22,2.46,3.7,6.16
政治与国际关系学院,5.06,2.06,0.81,1.22,2.03
艺术与传媒学院,7.4,2.1,1.28,1.92,3.2
上海国际知识产权学院,4.84,2.06,0.77,1.15,1.92
马克思主义学院,6.66,2.26,1.13,1.7,2.83
国际文化交流学院,4.8,2.06,0.76,1.14,1.9
法学院,5.88,2.06,0.98,1.46,2.44
体育部（国际足球学院）,5.07,2.06,0.81,1.22,2.04
医学与生命科学部,2.0,0.0,0.2,0.3,0.5
出国培训学院，留德预备部,4.14,2.12,0.83,1.24,2.07
网络教育学院，继续教育学院,4.14,2.12,0.63,0.94,1.57
中德学院,4.47,2.08,0.69,1.04,1.73
创新创业学院,4.14,2.12,0.63,0.94,1.57
新生院,4.22,2.11,0.64,0.97,1.61
国豪书院（未来技术学院）,11.54,2.15,1.91,2.86,4.77
国家卓越工程师学院，国际工程师学院,7.0,0.0,1.2,1.8,3.0
中意工程创新学院,4.0,0.0,0.6,0.9,1.5
启迪书院,9.73,2.13,1.75,2.62,4.36
口腔医学院,5.24,2.06,0.85,1.27,2.12
上海自主智能无人系统科学中心,4.14,2.12,0.43,0.64,1.07
同济大学上海国际设计创新学院,4.65,2.07,0.93,1.39,2.32
