部门名称,实际编制,GPR预测(含组织员),预算约束,约束后总编(含组织员),正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,11,10.86,10,10.0,1.8,2.7,4.5
数学科学学院,9,10.13,7,7.0,1.2,1.8,3.0
化学科学与工程学院,9,9.46,7,7.0,1.2,1.8,3.0
海洋与地球科学学院,11,9.28,8,8.0,1.4,2.1,3.5
生命科学与技术学院,11,10.47,11,10.47,1.89,2.84,4.73
机械工程与机器人学院,9,10.85,16,10.85,1.77,2.66,4.43
测绘与地理信息学院,8,9.48,6,6.0,1.0,1.5,2.5
计算机科学与技术学院（软件学院）,11,9.08,15,9.08,1.42,2.12,3.54
汽车与能源学院,11,11.78,13,11.78,1.96,2.93,4.89
材料科学与工程学院,11,11.53,11,11.0,2.0,3.0,5.0
电子与信息工程学院,13,11.63,20,11.63,1.93,2.89,4.82
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,13,11.94,16,11.94,1.99,2.98,4.97
土木工程学院,17,14.5,33,14.5,1.9,2.85,4.75
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,13,13.65,22,13.65,2.33,3.5,5.83
建筑与城市规划学院,15,15.1,22,15.1,2.42,3.63,6.05
航空航天与力学学院,10,10.03,7,7.0,1.2,1.8,3.0
医学院,12,9.12,30,9.12,1.02,1.54,2.56
设计创意学院,8,7.48,8,7.48,1.3,1.94,3.24
人文学院,10,9.39,7,7.0,1.2,1.8,3.0
外国语学院,11,9.72,11,9.72,1.74,2.62,4.36
经济与管理学院,13,12.67,21,12.67,2.13,3.2,5.34
政治与国际关系学院,8,8.98,4,4.0,0.6,0.9,1.5
艺术与传媒学院,9,9.84,7,7.0,1.2,1.8,3.0
马克思主义学院,10,10.31,6,6.0,1.0,1.5,2.5
国际文化交流学院,6,7.33,4,4.0,0.6,0.9,1.5
法学院,8,9.07,4,4.0,0.6,0.9,1.5
体育部（国际足球学院）,10,10.3,8,8.0,1.4,2.1,3.5
