部门名称,实际编制,GPR预测(含组织员),GPR_std,正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,6,9.19,2.11,1.64,2.46,4.1
数学科学学院,6,7.07,2.11,1.21,1.82,3.03
化学科学与工程学院,7,6.71,2.13,1.14,1.71,2.85
海洋与地球科学学院,8,8.24,2.14,1.45,2.17,3.62
生命科学与技术学院,8,9.95,2.17,1.79,2.69,4.48
机械工程与机器人学院,11,8.92,2.26,1.38,2.08,3.46
测绘与地理信息学院,5,6.5,2.13,1.1,1.65,2.75
计算机科学与技术学院（软件学院）,12,12.6,2.32,2.12,3.18,5.3
汽车与能源学院,11,12.81,2.27,2.16,3.24,5.4
材料科学与工程学院,9,9.01,2.14,1.6,2.4,4.01
电子与信息工程学院,16,17.2,2.55,3.04,4.56,7.6
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,17,16.56,2.34,2.91,4.37,7.28
土木工程学院,27,26.47,2.68,4.29,6.44,10.73
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,20,17.87,2.34,3.17,4.76,7.94
建筑与城市规划学院,20,20.64,2.64,3.53,5.29,8.82
航空航天与力学学院,7,7.34,2.1,1.27,1.9,3.17
中德工程学院，职业技术教育学院,5,6.05,2.26,1.01,1.51,2.52
医学院,22,21.59,2.68,3.52,5.28,8.8
设计创意学院,9,7.51,2.14,1.3,1.95,3.25
人文学院,7,7.61,2.11,1.32,1.98,3.31
外国语学院,12,9.7,2.28,1.74,2.61,4.35
经济与管理学院,22,19.62,2.51,3.52,5.29,8.81
政治与国际关系学院,3,6.01,2.07,1.0,1.5,2.51
艺术与传媒学院,7,7.49,2.14,1.3,1.95,3.24
上海国际知识产权学院,4,5.49,2.1,0.9,1.35,2.25
马克思主义学院,8,6.18,2.18,1.04,1.55,2.59
国际文化交流学院,4,5.29,2.74,0.86,1.29,2.14
法学院,6,6.29,2.08,1.06,1.59,2.65
体育部（国际足球学院）,11,7.4,2.2,1.28,1.92,3.2
医学与生命科学部,2,2.0,0.0,0.2,0.3,0.5
出国培训学院，留德预备部,0,3.78,2.11,0.76,1.13,1.89
网络教育学院，继续教育学院,9,4.14,2.13,0.63,0.94,1.57
中德学院,3,3.62,2.12,0.52,0.79,1.31
创新创业学院,8,3.62,2.12,0.52,0.79,1.31
新生院,3,3.57,2.11,0.51,0.77,1.28
国豪书院（未来技术学院）,8,6.48,2.61,0.9,1.34,2.24
国家卓越工程师学院，国际工程师学院,7,7.0,0.0,1.2,1.8,3.0
中意工程创新学院,4,4.0,0.0,0.6,0.9,1.5
启迪书院,4,3.85,2.19,0.57,0.86,1.43
口腔医学院,0,4.06,2.11,0.61,0.92,1.53
上海自主智能无人系统科学中心,11,5.12,2.17,0.62,0.94,1.56
同济大学上海国际设计创新学院,0,4.0,2.12,0.8,1.2,2.0
