部门名称,实际编制,GPR预测(含组织员),预算约束,约束后总编(含组织员),正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,6,6.18,10,6.18,1.04,1.55,2.59
数学科学学院,6,7.34,7,7.0,1.2,1.8,3.0
化学科学与工程学院,7,6.24,7,6.24,1.05,1.57,2.62
海洋与地球科学学院,8,6.48,8,6.48,1.1,1.65,2.74
生命科学与技术学院,8,8.85,11,8.85,1.57,2.35,3.92
机械工程与机器人学院,11,10.55,16,10.55,1.71,2.57,4.28
测绘与地理信息学院,5,6.0,6,6.0,1.0,1.5,2.5
计算机科学与技术学院（软件学院）,12,9.84,15,9.84,1.57,2.35,3.92
汽车与能源学院,11,19.72,13,13.0,2.2,3.3,5.5
材料科学与工程学院,9,10.08,11,10.08,1.82,2.72,4.54
电子与信息工程学院,16,14.42,20,14.42,2.48,3.73,6.21
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,17,17.34,16,16.0,2.8,4.2,7.0
土木工程学院,27,18.95,33,18.95,2.79,4.19,6.98
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,20,21.42,22,21.42,3.88,5.83,9.71
建筑与城市规划学院,20,18.73,22,18.73,3.15,4.72,7.86
航空航天与力学学院,7,6.91,7,6.91,1.18,1.77,2.95
医学院,22,18.32,30,18.32,2.86,4.3,7.16
设计创意学院,9,7.41,8,7.41,1.28,1.92,3.21
人文学院,7,7.02,7,7.0,1.2,1.8,3.0
外国语学院,12,11.84,11,11.0,2.0,3.0,5.0
经济与管理学院,22,20.44,21,20.44,3.69,5.53,9.22
政治与国际关系学院,3,5.14,4,4.0,0.6,0.9,1.5
艺术与传媒学院,7,8.5,7,7.0,1.2,1.8,3.0
马克思主义学院,8,7.87,6,6.0,1.0,1.5,2.5
国际文化交流学院,4,4.88,4,4.0,0.6,0.9,1.5
法学院,6,5.97,4,4.0,0.6,0.9,1.5
体育部（国际足球学院）,11,7.04,8,7.04,1.21,1.81,3.02
