部门名称,GPR预测(含组织员),GPR_std,正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,8.76,2.25,1.55,2.33,3.88
数学科学学院,7.37,2.76,1.27,1.91,3.18
化学科学与工程学院,7.5,2.17,1.3,1.95,3.25
海洋与地球科学学院,7.89,2.16,1.38,2.07,3.44
生命科学与技术学院,8.85,2.22,1.57,2.35,3.92
机械工程与机器人学院,10.5,2.15,1.7,2.55,4.25
测绘与地理信息学院,7.38,2.08,1.28,1.91,3.19
计算机科学与技术学院（软件学院）,15.64,2.47,2.73,4.09,6.82
汽车与能源学院,11.35,2.17,1.87,2.8,4.67
材料科学与工程学院,9.69,2.15,1.74,2.61,4.35
电子与信息工程学院,17.5,2.58,3.1,4.65,7.75
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,15.06,2.38,2.61,3.92,6.53
土木工程学院,20.18,2.63,3.04,4.56,7.59
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,15.74,2.36,2.75,4.12,6.87
建筑与城市规划学院,18.72,2.72,3.14,4.72,7.86
航空航天与力学学院,8.05,2.12,1.41,2.12,3.53
中德工程学院，职业技术教育学院,11.54,4.86,2.11,3.16,5.27
医学院,19.33,2.21,3.07,4.6,7.66
设计创意学院,7.81,2.14,1.36,2.04,3.4
人文学院,8.02,2.11,1.4,2.11,3.51
外国语学院,9.31,2.36,1.66,2.49,4.15
经济与管理学院,18.88,2.35,3.38,5.06,8.44
政治与国际关系学院,5.94,2.07,0.99,1.48,2.47
艺术与传媒学院,7.63,2.11,1.33,1.99,3.31
上海国际知识产权学院,5.59,2.1,0.92,1.38,2.29
马克思主义学院,6.9,2.2,1.18,1.77,2.95
国际文化交流学院,4.9,2.99,0.78,1.17,1.95
法学院,6.19,2.05,1.04,1.56,2.59
体育部（国际足球学院）,7.01,2.15,1.2,1.8,3.0
医学与生命科学部,2.0,0.0,0.2,0.3,0.5
出国培训学院，留德预备部,3.75,2.11,0.75,1.13,1.88
网络教育学院，继续教育学院,4.16,2.14,0.63,0.95,1.58
中德学院,3.86,2.11,0.57,0.86,1.43
创新创业学院,3.6,2.12,0.52,0.78,1.3
新生院,3.55,2.11,0.51,0.76,1.27
国豪书院（未来技术学院）,7.75,2.94,1.15,1.72,2.87
国家卓越工程师学院，国际工程师学院,7.0,0.0,1.2,1.8,3.0
中意工程创新学院,4.0,0.0,0.6,0.9,1.5
启迪书院,6.55,2.6,1.11,1.67,2.78
口腔医学院,3.98,2.1,0.6,0.89,1.49
上海自主智能无人系统科学中心,3.57,2.12,0.31,0.47,0.79
同济大学上海国际设计创新学院,3.96,2.12,0.79,1.19,1.98
