部门名称,GPR预测(含组织员),GPR_std,正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,8.62,2.17,1.52,2.29,3.81
数学科学学院,8.15,2.15,1.43,2.14,3.57
化学科学与工程学院,7.21,2.12,1.24,1.86,3.11
海洋与地球科学学院,8.07,2.19,1.41,2.12,3.54
生命科学与技术学院,9.06,2.25,1.61,2.42,4.03
机械工程与机器人学院,10.44,2.14,1.69,2.53,4.22
测绘与地理信息学院,7.2,2.14,1.24,1.86,3.1
计算机科学与技术学院（软件学院）,16.19,2.34,2.84,4.26,7.1
汽车与能源学院,11.53,2.2,1.91,2.86,4.76
材料科学与工程学院,9.42,2.13,1.68,2.53,4.21
电子与信息工程学院,17.33,2.59,3.07,4.6,7.66
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,14.99,2.4,2.6,3.9,6.5
土木工程学院,20.84,2.81,3.17,4.75,7.92
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,15.8,2.42,2.76,4.14,6.9
建筑与城市规划学院,18.35,2.79,3.07,4.61,7.68
航空航天与力学学院,7.79,2.13,1.36,2.04,3.4
中德工程学院，职业技术教育学院,11.43,4.98,2.09,3.13,5.21
医学院,19.05,2.29,3.01,4.51,7.52
设计创意学院,7.79,2.15,1.36,2.04,3.4
人文学院,7.79,2.11,1.36,2.04,3.39
外国语学院,9.45,2.24,1.69,2.54,4.23
经济与管理学院,19.78,2.61,3.56,5.33,8.89
政治与国际关系学院,6.03,2.08,1.01,1.51,2.52
艺术与传媒学院,7.5,2.17,1.3,1.95,3.25
上海国际知识产权学院,5.65,2.11,0.93,1.39,2.32
马克思主义学院,6.57,2.19,1.11,1.67,2.78
国际文化交流学院,4.86,3.0,0.77,1.16,1.93
法学院,6.3,2.07,1.06,1.59,2.65
体育部（国际足球学院）,7.18,2.17,1.24,1.85,3.09
医学与生命科学部,2.0,0.0,0.2,0.3,0.5
出国培训学院，留德预备部,3.78,2.11,0.76,1.13,1.89
网络教育学院，继续教育学院,4.14,2.13,0.63,0.94,1.57
中德学院,3.89,2.11,0.58,0.87,1.45
创新创业学院,3.62,2.12,0.52,0.79,1.31
新生院,3.57,2.11,0.51,0.77,1.28
国豪书院（未来技术学院）,7.65,2.96,1.13,1.69,2.82
国家卓越工程师学院，国际工程师学院,7.0,0.0,1.2,1.8,3.0
中意工程创新学院,4.0,0.0,0.6,0.9,1.5
启迪书院,6.48,2.61,1.1,1.64,2.74
口腔医学院,4.03,2.1,0.61,0.91,1.51
上海自主智能无人系统科学中心,3.59,2.12,0.32,0.48,0.79
同济大学上海国际设计创新学院,4.0,2.12,0.8,1.2,2.0
