部门名称,实际编制,GPR预测(含组织员),GPR_std,正科(20%),副科(30%),科级以下(50%)
物理科学与工程学院,6,8.28,2.06,1.46,2.18,3.64
数学科学学院,6,6.57,2.04,1.11,1.67,2.78
化学科学与工程学院,7,6.57,2.04,1.11,1.67,2.78
海洋与地球科学学院,8,6.27,2.04,1.05,1.58,2.64
生命科学与技术学院,8,8.3,2.06,1.46,2.19,3.65
机械工程与机器人学院,11,12.37,2.09,2.07,3.11,5.18
测绘与地理信息学院,5,6.83,2.04,1.17,1.75,2.92
计算机科学与技术学院（软件学院）,12,15.6,2.11,2.72,4.08,6.8
汽车与能源学院,11,15.45,2.11,2.69,4.03,6.72
材料科学与工程学院,9,9.28,2.07,1.66,2.48,4.14
电子与信息工程学院,16,19.52,2.18,3.5,5.26,8.76
环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,17,13.56,2.09,2.31,3.47,5.78
土木工程学院,27,23.95,2.36,3.79,5.68,9.47
交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,20,18.1,2.15,3.22,4.83,8.05
建筑与城市规划学院,20,17.01,2.13,2.8,4.2,7.01
航空航天与力学学院,7,7.08,2.05,1.22,1.82,3.04
中德工程学院，职业技术教育学院,5,6.46,2.04,1.09,1.64,2.73
医学院,22,23.92,2.56,3.98,5.98,9.96
设计创意学院,9,7.12,2.05,1.22,1.84,3.06
人文学院,7,6.31,2.04,1.06,1.59,2.65
外国语学院,12,6.22,2.04,1.04,1.57,2.61
经济与管理学院,22,16.94,2.13,2.99,4.48,7.47
政治与国际关系学院,3,5.6,2.04,0.92,1.38,2.3
艺术与传媒学院,7,7.21,2.05,1.24,1.86,3.1
上海国际知识产权学院,4,5.23,2.05,0.85,1.27,2.12
马克思主义学院,8,5.3,2.04,0.86,1.29,2.15
国际文化交流学院,4,5.33,2.04,0.87,1.3,2.17
法学院,6,6.06,2.04,1.01,1.52,2.53
体育部（国际足球学院）,11,5.25,2.05,0.85,1.28,2.13
医学与生命科学部,2,2.0,0.0,0.2,0.3,0.5
出国培训学院，留德预备部,0,4.42,2.11,0.88,1.33,2.21
网络教育学院，继续教育学院,9,4.43,2.11,0.69,1.03,1.71
中德学院,3,4.43,2.11,0.69,1.03,1.71
创新创业学院,8,4.42,2.11,0.68,1.03,1.71
新生院,3,4.5,2.1,0.7,1.05,1.75
国豪书院（未来技术学院）,8,9.61,2.07,1.52,2.28,3.81
国家卓越工程师学院，国际工程师学院,7,7.0,0.0,1.2,1.8,3.0
中意工程创新学院,4,4.0,0.0,0.6,0.9,1.5
启迪书院,4,5.74,2.04,0.95,1.42,2.37
口腔医学院,0,5.61,2.04,0.92,1.38,2.3
上海自主智能无人系统科学中心,11,5.91,2.04,0.78,1.17,1.95
同济大学上海国际设计创新学院,0,4.93,2.06,0.99,1.48,2.46
